                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.1689,                0.88774,                 1.0809,                0.42657,                0.42669,                0.39349,                 0.2406,                 1.3814,                 1.2956,                 1.2514,             0.00087462,             0.00087462,             0.00087462
                     94,                 1.1696,                0.90498,                  1.081,                0.42452,                 0.4376,                0.39573,                0.23421,                 1.3912,                  1.269,                 1.2351,              0.0008705,              0.0008705,              0.0008705
                     95,                 1.1805,                0.89493,                 1.0815,                0.43783,                0.43824,                0.39356,                0.23434,                 1.3907,                 1.2588,                 1.2661,             0.00086637,             0.00086637,             0.00086637
                     96,                 1.1574,                0.88342,                 1.0744,                0.44058,                0.38674,                0.37178,                0.22886,                 1.3963,                 1.2638,                 1.2565,             0.00086225,             0.00086225,             0.00086225
                     97,                 1.1961,                0.93193,                 1.0919,                 0.4655,                  0.404,                0.39955,                0.24823,                 1.4009,                 1.2669,                 1.2383,             0.00085813,             0.00085813,             0.00085813
                     98,                 1.1792,                  0.894,                 1.0678,                0.45288,                0.39009,                0.39328,                0.24236,                 1.4319,                 1.3219,                 1.2502,               0.000854,               0.000854,               0.000854
                     99,                  1.165,                0.88507,                 1.0657,                0.36579,                0.42708,                0.36543,                0.22225,                 1.4308,                  1.318,                 1.2595,             0.00084988,             0.00084988,             0.00084988
                    100,                 1.1405,                0.86808,                 1.0765,                0.45246,                0.48711,                0.42395,                0.26934,                 1.3875,                 1.2618,                 1.2433,             0.00084575,             0.00084575,             0.00084575
                    101,                 1.1649,                0.87919,                 1.0783,                0.39701,                0.50694,                0.39988,                0.24873,                  1.393,                 1.2463,                 1.2873,             0.00084162,             0.00084162,             0.00084162
                    102,                 1.1651,                0.88307,                 1.0761,                0.44154,                0.47919,                0.41177,                0.25183,                 1.3752,                 1.2434,                 1.2696,              0.0008375,              0.0008375,              0.0008375
                    103,                 1.1442,                0.86041,                 1.0685,                0.42493,                0.45171,                0.41935,                 0.2641,                 1.3932,                 1.2852,                 1.2588,             0.00083337,             0.00083337,             0.00083337
                    104,                 1.1496,                0.87127,                 1.0738,                0.47013,                0.43037,                0.43088,                0.25903,                 1.3961,                 1.3044,                  1.262,             0.00082925,             0.00082925,             0.00082925
